Ref,Description,Category,Qty,Unit_Mass_g,Total_Mass_g,Supplier,Supplier_PN_or_Search,Est_Unit_Price_USD,Est_Total_Price_USD,Notes
EDF-50-6S,50mm EDF unit @ 6S (6- or 12-blade),Propulsion,4,70,280,AliExpress / Banggood,Surpass Hobby 2627 50mm 6S EDF OR RFX 50mm 12-blade 6S EDF,25.00,100.00,"460g thrust each; verify CW vs CCW rotation before nacelle install; 2 per nacelle tandem; Rev O EDF1 Z=22..72mm EDF2 Z=98..143mm"
EDF-120-6S,120mm EDF unit @ 6S (12-blade),Propulsion,1,420,420,HobbyKing / AliExpress,120mm 12-blade 6S ducted fan EDF 3500g thrust,85.00,85.00,"Panel F engine bell; fan face at station ~430mm from nose; 4-radial-scoop intake via s_aft_edf_plenum; fan annular area ~10683mm²"
ESC-40A-6S,"40A 6S BLHeli32 ESC, BDSHOT600",ESC,4,25,100,AliExpress / HobbyKing,BLHeli32 40A 6S DSHOT600 ESC,18.00,72.00,"One per 50mm EDF; mount in nacelle hub bore ID=20mm; 55A burst"
ESC-80A-6S,80A 6S BLHeli32 ESC,ESC,1,65,65,AliExpress / HobbyKing,BLHeli32 80A 6S ESC 110A burst,30.00,30.00,"For 120mm rear EDF; 110A burst capability required"
SERVO-TILT,"Nacelle tilt servo — digital, metal gear, ≥25 kg·cm @ 6V",Servo,2,65,130,Amazon / AliExpress,DS3218MG 25kg digital servo metal gear,13.00,26.00,"Rev O: servo torque demand reduced by CG-pivot at Z=83mm; only aero + inertia moments remain; hard stops -5°/140°"
SERVO-REAR-NOZZLE,Rear nozzle servo — SG90 class,Servo,1,9,9,Amazon / AliExpress,SG90 9g micro servo 1.8kg,3.00,3.00,"Inside rear fuselage; piano wire pushrod to iris nozzle link ring"
BRG-MF104ZZ,MF104ZZ flanged bearing 4×10×4mm,Bearing,4,2,8,Amazon / AliExpress,MF104ZZ flanged ball bearing 4x10x4mm,1.50,6.00,"2 per nacelle pivot housing; press-fit into clevis ear bore OD=16mm; Rev O: confirmed selection over 686ZZ"
CF-ROD-4MM,4mm OD solid CF pivot rod (cut to length per pivot housing),Structural Hardware,2,8,16,Amazon / AliExpress,4mm solid carbon fiber rod 300mm,6.00,12.00,"One per nacelle; cut length per pivot housing drawing; pivot at Z=83mm (CG) in Rev O"
PIN-3X5,3mm OD × 5mm stainless hinge pin — nozzle petals,Hardware,24,0.5,12,McMaster-Carr / Amazon,"Stainless roll pin 3mm x 5mm, McMaster 98381A175 or equiv",0.50,12.00,"16 for nacelle petals (8 per nacelle × 2) + 8 for rear nozzle petals"
PIANO-WIRE-0.8,0.8mm piano wire / music wire — iris nozzle link rings,Hardware,1,15,15,McMaster-Carr / Amazon,"Music wire 0.8mm dia, 1m lengths, McMaster 9495K51 or equiv",8.00,8.00,"Bent to form link ring connecting petals to nozzle inner ring; 3 rings total"
SECTOR-GEAR-M05,"M0.5 sector gear R=22mm — SUPERSEDED in Rev O by SECTOR-M1-R22 (M=1.0); retain row for Rev N back-compat",Gear,0,5,0,AliExpress / Shapeways / in-house resin,"M0.5 sector gear 22mm pitch radius — see SECTOR-M1-R22 for Rev O replacement",8.00,0.00,"Rev O: replaced by SECTOR-M1-R22 (M=1.0 module). Qty=0 in Rev O build."
BEVEL-PAIR-M05,"M0.5 bevel gear pair 1:1, 90° axis redirect — SUPERSEDED in Rev O by BEVEL-M1-14T",Gear,0,3,0,AliExpress,"M0.5 bevel gear pair 1:1 90 degree shaft — see BEVEL-M1-14T for Rev O replacement",10.00,0.00,"Rev O: replaced by BEVEL-M1-14T (M=1.0). Qty=0 in Rev O build."
PINION-M05,M0.5 drive pinion R=6mm — SUPERSEDED in Rev O by PINION-A-M1-12T and CROWN-M1-12T,Gear,0,1,0,AliExpress / in-house resin,"M0.5 spur pinion 6mm pitch radius — see PINION-A-M1-12T and CROWN-M1-12T for Rev O",5.00,0.00,"Rev O: replaced by M=1.0 pinions. Qty=0 in Rev O build."
PB2-I-FC,"PocketBeagle 2 Industrial AM6254 — FC node, Cape-A",Avionics,4,13,52,BeagleBoard.org / DigiKey,PocketBeagle 2 Industrial (AM6254),51.03,204.12,"FC node upper slot in bays A/B/D/E; runs ArduPilot / flight control stack"
PB2-I-CN,"PocketBeagle 2 Industrial AM6254 — CN node, Cape-B",Avionics,4,13,52,BeagleBoard.org / DigiKey,PocketBeagle 2 Industrial (AM6254),51.03,204.12,"CN node lower slot in bays A/B/D/E; comms + logging + payload control"
CAPE-A,"Cape-A PCB 85×55mm — Sensor + FC cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N)",Avionics,4,28,112,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-A gerbers + BOM,42.00,168.00,"Fabricated at JLCPCB; $42 includes PCB + JLCPCB assembly; tamper mesh routed to SLB9670 TPM GPIO"
