pin,signal,type
A1,VIN,PWR_I
A2,VIN,PWR_I
A3,VIN,PWR_I
A4,GND,-
A5,X_VOUT0_VSYNC,I/O
A6,X_VOUT0_HSYNC,I/O
A7,X_VOUT0_PCLK,I/O
A8,X_VOUT0_DATA12,I/O
A9,GND,-
A10,X_VOUT0_DATA13,I/O
A11,X_VOUT0_DATA11,I/O
A12,X_VOUT0_DATA14,I/O
A13,X_VOUT0_DATA15,I/O
A14,GND,-
A15,X_VOUT0_DE,I/O
A16,X_VOUT0_DATA10,I/O
A17,X_CPSW_RGMII2_RX_CTL,I/O
A18,X_CPSW_RGMII2_RXC,I/O
A19,GND,-
A20,X_CPSW_RGMII2_RD3,I/O
A21,X_CPSW_RGMII2_RD2,I/O
A22,X_CPSW_RGMII2_RD1,I/O
A23,X_CPSW_RGMII2_RD0,I/O
A24,GND,-
A25,X_CPSW_RGMII2_TXC,I/O
A26,X_CPSW_RGMII2_TX_CTL,I/O
A27,X_CPSW_RGMII2_TD0,I/O
A28,X_CPSW_RGMII2_TD1,I/O
A29,GND,-
A30,X_CPSW_RGMII2_TD2,I/O
A31,X_CPSW_RGMII2_TD3,I/O
A32,GND,-
A33,X_CSI0_RXP1,I
A34,X_CSI0_RXN1,I
A35,X_CSI0_RXP0,I
A36,X_CSI0_RXN0,I
A37,GND,-
A38,X_USB0_DM,I/O
A39,X_USB0_DP,I/O
A40,X_USB0_VBUS,A/I
A41,X_USB0_DRVVBUS,I/O
A42,GND,-
A43,X_OLDI0_CLK0P,I/O
A44,X_OLDI0_CLK0N,I/O
A45,GND,-
A46,X_OLDI0_A2P,I/O
A47,X_OLDI0_A2N,I/O
A48,X_OLDI0_A3P,I/O
A49,X_OLDI0_A3N,I/O
A50,GND,-
A51,X_OLDI0_A1N,I/O
A52,X_OLDI0_A1P,I/O
A53,X_OLDI0_A0N,I/O
A54,X_OLDI0_A0P,I/O
A55,GND,-
A56,X_WKUP_UART0_CTSN,I/O
A57,X_MCU_MCAN0_TX,I/O
A58,X_MCU_MCAN0_RX,I/O
A59,X_MCU_MCAN1_TX,I/O
A60,X_MCU_MCAN1_RX,I/O
B1,SoC_VDDSHV5_SDIO,PWR_IO
B2,VBAT,PWR_I
B3,GND,-
B4,X_VOUT0_DATA2,I/O
B5,X_VOUT0_DATA3,I/O
B6,X_VOUT0_DATA1,I/O
B7,X_VOUT0_DATA4,I/O
B8,GND,-
B9,X_VOUT0_DATA7,I/O
B10,X_VOUT0_DATA5,I/O
B11,X_VOUT0_DATA6,I/O
B12,X_VOUT0_DATA0,I/O
B13,GND,-
B14,X_VOUT0_DATA9,I/O
B15,X_VOUT0_DATA8,I/O
B16,X_MDIO0_MDC,I/O
B17,X_MDIO0_MDIO,I/O
B18,GND,-
B19,X_CPSW_ETH0_D-,I/O
B20,X_CPSW_ETH0_D+,I/O
B21,X_CPSW_ETH0_C-,I/O
B22,X_CPSW_ETH0_C+,I/O
B23,GND,-
B24,X_CPSW_ETH0_B-,I/O
B25,X_CPSW_ETH0_B+,I/O
B26,X_CPSW_ETH0_A-,I/O
B27,X_CPSW_ETH0_A+,I/O
B28,GND,-
B29,X_CPSW_ETH0_LED_LINK,O
B30,X_CPSW_ETH0_LED_ACTIVITY,O
B31,X_CSI0_RXCLKP,I
B32,X_CSI0_RXCLKN,I
B33,GND,-
B34,X_CSI0_RXP2,I
B35,X_CSI0_RXN2,I
B36,X_CSI0_RXP3,I
B37,X_CSI0_RXN3,I
B38,GND,-
B39,X_USB1_DM,I/O
B40,X_USB1_DP,I/O
B41,X_USB1_VBUS,A/I
B42,X_USB1_DRVVBUS,I/O
B43,GND,-
