Ref,Description,Category,Qty,Unit_Mass_g,Total_Mass_g,Supplier,Supplier_PN_or_Search,Est_Unit_Price_USD,Est_Total_Price_USD,Notes
EDF-50-6S,50mm EDF unit @ 6S (6- or 12-blade),Propulsion,4,70,280,AliExpress / Banggood,Surpass Hobby 2627 50mm 6S EDF OR RFX 50mm 12-blade 6S EDF,25.00,100.00,"460g thrust each; verify CW vs CCW rotation before nacelle install; 2 per nacelle tandem"
EDF-120-6S,120mm EDF unit @ 6S (12-blade),Propulsion,1,420,420,HobbyKing / AliExpress,120mm 12-blade 6S ducted fan EDF 3500g thrust,85.00,85.00,"Panel F engine bell; fan face at station ~430mm from nose; 4-radial-scoop intake via s_aft_edf_plenum; fan annular area ~10683mm²"
ESC-40A-6S,"40A 6S BLHeli32 ESC, BDSHOT600",ESC,4,25,100,AliExpress / HobbyKing,BLHeli32 40A 6S DSHOT600 ESC,18.00,72.00,"One per 50mm EDF; mount in nacelle hub bore ID=16mm; 55A burst"
ESC-80A-6S,80A 6S BLHeli32 ESC,ESC,1,65,65,AliExpress / HobbyKing,BLHeli32 80A 6S ESC 110A burst,30.00,30.00,"For 120mm rear EDF; 110A burst capability required"
SERVO-TILT,"Nacelle tilt servo — digital, metal gear, ≥25 kg·cm @ 6V",Servo,2,65,130,Amazon / AliExpress,DS3218MG 25kg digital servo metal gear,13.00,26.00,"Fuselage-mounted; nacelle tilt 0°–120° via pushrod; hard stops -5°/140°"
SERVO-REAR-NOZZLE,Rear nozzle servo — SG90 class,Servo,1,9,9,Amazon / AliExpress,SG90 9g micro servo 1.8kg,3.00,3.00,"Inside rear fuselage; piano wire pushrod to iris nozzle link ring"
BRG-MF104ZZ,MF104ZZ flanged bearing 4×10×4mm,Bearing,4,2,8,Amazon / AliExpress,MF104ZZ flanged ball bearing 4x10x4mm,1.50,6.00,"2 per nacelle pivot housing; press fit into s_eng_piv_outer_scaled24"
CF-ROD-4MM,4mm OD solid CF pivot rod (cut to length per pivot housing),Structural Hardware,2,8,16,Amazon / AliExpress,4mm solid carbon fiber rod 300mm,6.00,12.00,"One per nacelle; cut length per pivot housing drawing"
PIN-3X5,3mm OD × 5mm stainless hinge pin — nozzle petals,Hardware,24,0.5,12,McMaster-Carr / Amazon,"Stainless roll pin 3mm x 5mm, McMaster 98381A175 or equiv",0.50,12.00,"16 for nacelle petals (8 per nacelle × 2) + 8 for rear nozzle petals"
PIANO-WIRE-0.8,0.8mm piano wire / music wire — iris nozzle link rings,Hardware,1,15,15,McMaster-Carr / Amazon,"Music wire 0.8mm dia, 1m lengths, McMaster 9495K51 or equiv",8.00,8.00,"Bent to form link ring connecting petals to nozzle inner ring; 3 rings total"
SECTOR-GEAR-M05,"M0.5 sector gear R=22mm — nozzle passive linkage, fixed to tilt bracket",Gear,2,5,10,AliExpress / Shapeways / in-house resin,"M0.5 sector gear 22mm pitch radius, or resin print from serenity/artifacts/nacelle-nozzle-gear.jsx",8.00,16.00,"See nacelle-nozzle-gear.jsx for full spec; resin preferred"
BEVEL-PAIR-M05,"M0.5 bevel gear pair 1:1, 90° axis redirect",Gear,2,3,6,AliExpress,"M0.5 bevel gear pair 1:1 90 degree shaft",10.00,20.00,"One pair per nacelle; redirects nozzle drive axis 90°"
PINION-M05,M0.5 drive pinion R=6mm (drive + crown),Gear,4,1,4,AliExpress / in-house resin,"M0.5 spur pinion 6mm pitch radius ~12 tooth",5.00,20.00,"2 per nacelle (1× drive pinion on nacelle body, 1× crown pinion)"
PB2-I-FC,"PocketBeagle 2 Industrial AM6254 — FC node, Cape-A",Avionics,4,13,52,BeagleBoard.org / DigiKey,PocketBeagle 2 Industrial (AM6254),51.03,204.12,"FC node upper slot in bays A/B/D/E; runs ArduPilot / flight control stack"
PB2-I-CN,"PocketBeagle 2 Industrial AM6254 — CN node, Cape-B",Avionics,4,13,52,BeagleBoard.org / DigiKey,PocketBeagle 2 Industrial (AM6254),51.03,204.12,"CN node lower slot in bays A/B/D/E; comms + logging + payload control"
CAPE-A,"Cape-A PCB 85×55mm — Sensor + FC cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N)",Avionics,4,28,112,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-A gerbers + BOM,42.00,168.00,"Fabricated at JLCPCB; $42 includes PCB + JLCPCB assembly; tamper mesh routed to SLB9670 TPM GPIO"
CAPE-B,"Cape-B PCB 90×60mm — Comms + Logging + Payload cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N)",Avionics,4,38,152,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-B gerbers + BOM,80.00,320.00,"Fabricated at JLCPCB; $80 includes PCB + JLCPCB assembly; tamper mesh routed to SLB9670 TPM GPIO"
RCRS-49,RCRS-49 sub-module PCB — 49 MHz TDDS RC,Avionics,4,12,48,JLCPCB (fab from project gerbers),RCRS-49 gerbers,25.00,100.00,"Mates to Cape-B; top wire antenna dorsal spine nose post ~120mm → EDF cone ~600mm; base-loaded 38uH coil"
MICROSD-LOG,64GB microSD — Cape-B write-blocked flight log,Avionics,4,1,4,Amazon,Samsung 64GB microSD Class 10 U3,12.00,48.00,"Write-blocked; flight log storage; formatted FAT32 or ext4 per firmware"
WIRE-49MHZ,49MHz top wire — 0.3mm stainless steel ~470mm dorsal spine,Avionics,1,3,3,Amazon / AliExpress,Stainless steel wire 0.3mm dia 1m spool,5.00,5.00,"End-fed shortened wire; horizontal polarisation; cross-pol loss ~6-12dB at <=300m acceptable"
POST-FWD-49,Forward wire post + base-loading coil — PETG post + 38uH coil + LC pi-net at dorsal hull ~120mm,Avionics,1,4,4,In-house / AliExpress,38uH air-core inductor + variable cap + PETG printed post,8.00,8.00,"3mm clearance from GPS patch face; bench-test HDOP <=1.5 with RCRS TX before flight"
POST-AFT-49,Aft wire post + ceramic bead insulator — top of rear nozzle cone ~600mm from nose,Avionics,1,2,2,AliExpress,Ceramic standoff insulator 3mm + PETG post,3.00,3.00,"Strain-relief wire at aft post; open-circuit (insulated) end"
BATT-6S-4000,6S 4000mAh LiPo — hover / high-endurance,Power,1,750,750,HobbyKing / GetFPV,Tattu or Gens Ace 4000mAh 6S 60C LiPo XT60,55.00,55.00,"Primary flight battery; >=15C cont (~60A draw); AUW ~3550g with this cell"
BATT-6S-2800,6S 2800mAh LiPo — cargo delivery (lower mass),Power,1,525,525,HobbyKing / GetFPV,Tattu or Gens Ace 2800mAh 6S LiPo XT60,40.00,40.00,"Use when payload <=250g; -225g AUW vs 4000mAh cell"
PDB-BEC,Dual BEC PDB — 5V + 6V output >=5A each from 6S,Power,1,40,40,Amazon / AliExpress,Dual BEC power distribution board 5A 5V 6V XT60,25.00,25.00,"5V for avionics bus (8x PB2-I + capes); 6V for servo bus (3 servos); 6S main input"
LED-WS2812B,WS2812B addressable RGB LED ring — nozzle backlight,Lighting,3,8,24,Amazon / AliExpress,WS2812B LED ring 12-LED or 16-LED 50mm dia,8.00,24.00,"One per nozzle (x2 nacelle + x1 rear); mounts at duct exit lip; driven via Cape-B GPIO"
N20-WINCH,N20 300RPM 6V gear motor — cargo door winch,Cargo,1,10,10,Amazon / AliExpress,N20 micro gear motor 300RPM 6V,5.00,5.00,"Drives clamshell cargo door; paired with HX711 load cell for weight sensing"
HX711-LC,HX711 24-bit load cell ADC module,Cargo,1,3,3,Amazon / AliExpress,HX711 load cell amplifier breakout module,4.00,4.00,"Cargo weight monitoring; interfaces to Cape-B SPI/GPIO"
CF-BAR-6X3,CF flat bar 6x3mm x 620mm — hull keel + 49MHz counterpoise,Structural,1,30,30,Amazon / AliExpress,6mm x 3mm carbon fiber flat bar 700mm,12.00,12.00,"Full hull length; datum marks at 91/165/251/320/388mm from nose; also serves as RCRS-49 counterpoise"
