section,ref,desc,qty,mass_g,cost_est,notes
hull_structure,HULL-SHELL,Hull shell 1.2mm PETG — 6 printed sections,6,143,,"Sections: nose-cap, fwd-belly, mid-belly, aft-belly, dorsal-fwd, dorsal-aft"
hull_structure,HULL-FOAM,X-30 2-part polyurethane foam — structural fill,1,42,,"2-min pot life, 4× expansion, 600mL mixed volume"
hull_structure,HULL-CF,"Carbon fibre keel + ring frames (3K weave, 1.5mm)",1,28,,"2× keel longerons 450mm, 3× ring frames laser-cut"
hull_structure,HULL-PTFE-TUBE,PTFE conduit tubes ×6 — permanent cableway through foam,6,12,,"4mm OD × 3mm ID, 400mm each — CAN/RS-485/1553/ETH-A/ETH-B/PWR"
hull_structure,HULL-VOID-EPS,"EPS void formers — temporary, removed after foam cure",1,18,,"Consumable — Foamular 150, waxed, 7 zone formers for 8 node bays"
hull_structure,HULL-WAX,Johnson's Paste Wax — void former release agent,1,400,,Consumable — not in dry weight
hull_structure,HULL-CF-TUBE,CF tube spar — nacelle stub arm structural core,2,5,,8mm OD × 6mm ID × 60mm
hull_structure,ACCESS-FRAME-PETG,Access panel frames + lids PETG — panels A–F,6,38,,"A: bayonet-nose, B: M2.5 dorsal-fwd, C: hinge-belly, D: magnet dorsal-aft, E: M2.5 aft, F: bayonet engine-bell"
hull_structure,ACCESS-SCREW-M25,"M2.5×6 SS pan-head screws (panels B, E)",16,4,,
hull_structure,ACCESS-MAGNET,N42 neodymium 6×2mm disc magnets (panel D),8,2,,"4 pairs, push-fit into printed sockets"
hull_structure,ACCESS-GASKET,3M 4016 foam tape gasket — all panel perimeters,1,8,,
hull_structure,ACCESS-EPOXY,Bob Smith BSI-201 epoxy — frame bonding,1,0,,Consumable — negligible dry mass
propulsion,EDF-NAC-L,XRP 3660-2700KV 80mm 6S EDF — port nacelle,1,383,,Phase 7+ only — 120A ESC required
propulsion,EDF-NAC-R,XRP 3660-2700KV 80mm 6S EDF — starboard nacelle,1,383,,Phase 7+ only
propulsion,EDF-FUSE,XFLY Galaxy X4 PRO 40mm 12-blade EDF (4S),1,40,,Forward-flight transition thrust — 4S via balance tap from 6S main
propulsion,BAT-TAP-4S,6S→4S balance tap pigtail (cells 1–4),1,2,,Powers fuselage EDF from 6S main battery cells 1–4
propulsion,ESC-NAC,Hobbywing Platinum V4 120A 6S ESC — nacelle,2,107,,Required for 84A XRP draw — do not substitute lower-rated ESC
propulsion,ESC-FUSE,40A BLHeli32 ESC — fuselage EDF,1,15,,
nacelle_hardware,NAC-POD-80,Nacelle pod 93.5mm OD — budget EDF variant (Phases 2–6),2,18,,Print in Phase 0; used in Phases 2–6 with budget 80mm EDFs
nacelle_hardware,NAC-POD-XRP,Nacelle pod 83mm housing OD — XRP EDF variant (Phase 7+),2,18,,Print in Phase 0; swap in at Phase 7 pod upgrade
